case,current_density_A_cm2,target_voltage_V,model_voltage_V,residual_V
tensao_373K,0.2281746724890829,0.8825936395759718,0.8822883685629984,-0.000305271012973396
tensao_373K,0.2380698689956331,0.8787349823321555,0.8788030256320696,6.804329991405567e-05
tensao_373K,0.2479650655021834,0.8749681978798587,0.8753523787703466,0.00038418089048786186
tensao_373K,0.2578602620087336,0.8720848056537103,0.8719323172319344,-0.00015248842177584265
tensao_373K,0.2677554585152838,0.8695547703180212,0.8685391406779347,-0.0010156296400865017
tensao_373K,0.277650655021834,0.8657243816254417,0.8651694976238733,-0.0005548840015684453
tensao_373K,0.2875458515283843,0.8620212014134276,0.8618203346036702,-0.00020086680975739402
tensao_373K,0.2974410480349345,0.8593639575971732,0.8584888538710173,-0.0008751037261559569
tensao_373K,0.3073362445414847,0.8558657243816254,0.8551724779585134,-0.0006932464231120816
tensao_373K,0.3172314410480349,0.8528409893992934,0.851868819787683,-0.0009721696116103962
tensao_373K,0.3271266375545851,0.8489187279151944,0.8485756573040901,-0.00034307061110427917
tensao_373K,0.3370218340611354,0.845975265017668,0.845290911825799,-0.0006843531918689916
tensao_373K,0.3469170305676856,0.8419717314487634,0.8420126294578847,4.089800912132624e-05
tensao_373K,0.3568122270742358,0.8390282685512368,0.8387389650531146,-0.00028930349812217315
tensao_373K,0.366707423580786,0.8360424028268552,0.8354681682984522,-0.0005742345284029948
tensao_373K,0.3766026200873362,0.8320812720848058,0.8321985715853362,0.00011729950053041005
tensao_373K,0.3864978165938865,0.8291378091872792,0.8289285793837425,-0.0002092298035366591
tensao_373K,0.3963930131004367,0.8254416961130743,0.8256566588895274,0.00021496277645316475
tensao_373K,0.4062882096069869,0.8231802120141344,0.8223813317542727,-0.000798880259861634
tensao_373K,0.4161834061135371,0.8190812720848057,0.819101166738926,1.9894654120222732e-05
tensao_373K,0.4260786026200873,0.8156466431095407,0.8158147731585634,0.00016813004902271889
tensao_373K,0.4359737991266376,0.8123003533568904,0.8125207950068569,0.0002204416499664852
tensao_373K,0.4458689956331877,0.809356890459364,0.8092179056662527,-0.000138984793111252
tensao_373K,0.455764192139738,0.8063604240282687,0.805904803124239,-0.0004556209040297299
tensao_373K,0.4656593886462882,0.8024098939929329,0.8025802056279753,0.0001703116350423306
tensao_373K,0.4755545851528384,0.7994664310954064,0.799242847719442,-0.00022358337596439792
tensao_373K,0.4854497816593886,0.7957597173144877,0.7958914766015311,0.00013175928704345363
tensao_373K,0.4953449781659388,0.7925194346289753,0.7925248487924167,5.414163441352926e-06
tensao_373K,0.5052401746724892,0.789399293286219,0.7891417270313722,-0.0002575662548468527
tensao_373K,0.5151353711790394,0.7855724381625442,0.7857408774041102,0.00016843924156606516
tensao_373K,0.5250305676855895,0.7815689045936396,0.7823210666598959,0.0007521620662562789
tensao_373K,0.5349257641921398,0.778625441696113,0.7788810596962165,0.0002556180001034303
tensao_373K,0.54482096069869,0.7746219081272085,0.7754196171898139,0.0007977090626053451
tensao_373K,0.5547161572052403,0.771678445229682,0.771935493355463,0.0002570481257809787
tensao_373K,0.5646113537117905,0.7676749116607774,0.7684274338160957,0.0007525221553182915
tensao_373K,0.5745065502183406,0.7639575971731449,0.7648941735697675,0.0009365763966225904
tensao_373K,0.5844017467248909,0.7597173144876326,0.761334435040608,0.0016171205529754706
tensao_373K,0.5942969432314411,0.7575971731448764,0.7577469262023078,0.0001497530574313677
tensao_373K,0.6041921397379914,0.7533568904593639,0.7541303387639223,0.0007734483045583884
tensao_373K,0.6140873362445416,0.7491166077738516,0.7504833464088373,0.0013667386349857091
tensao_373K,0.6239825327510917,0.745773851590106,0.74680460307866,0.001030751488554027
tensao_373K,0.633877729257642,0.7417703180212014,0.7430927412946116,0.0013224232734101449
tensao_373K,0.6437729257641922,0.7385159010600708,0.7393463705096908,0.0008304694496199527
tensao_373K,0.6536681222707424,0.7342756183745583,0.7355640754854965,0.0012884571109381682
tensao_373K,0.6635633187772927,0.7300353356890459,0.7317444146881289,0.0017090789990830135
tensao_373K,0.6734585152838428,0.7268162544169611,0.7278859186980592,0.001069664281098115
tensao_373K,0.6833537117903931,0.7236749116607775,0.7239870886292672,0.0003121769684897302
tensao_373K,0.6932489082969433,0.7194346289752651,0.7200463945533079,0.0006117655780427667
tensao_373K,0.7031441048034935,0.7151943462897528,0.7160622739242779,0.0008679276345251452
tensao_373K,0.7130393013100438,0.7108021201413427,0.7120331300009368,0.0012310098595941232
tensao_373K,0.7229344978165939,0.7067985865724381,0.7079573302624712,0.0011587436900331038
tensao_373K,0.7328296943231442,0.7024734982332155,0.7038332048146091,0.001359706581393616
tensao_373K,0.7427248908296944,0.6982332155477032,0.6996590447829718,0.001425829235268572
tensao_373K,0.7526200873362446,0.6939929328621908,0.6954331006907155,0.001440167828524741
tensao_373K,0.7625152838427949,0.6897526501766784,0.6911535808176521,0.0014009306409736855
tensao_373K,0.772410480349345,0.6859293286219081,0.6868186495381621,0.0008893209162539328
tensao_373K,0.7823056768558952,0.6817173144876325,0.6824264256353197,0.0007091111476872358
tensao_373K,0.7922008733624455,0.6777137809187279,0.6779749805887378,0.00026119967000992617
tensao_373K,0.8020960698689957,0.6726501766784452,0.6734623368337158,0.0008121601552706359
tensao_373K,0.811991266375546,0.6685512367491167,0.6688864659893438,0.0003352292402271084
tensao_373K,0.8218864628820961,0.6628551236749117,0.6642452870532656,0.001390163378353848
tensao_373K,0.8317816593886463,0.6590883392226148,0.6595366645608504,0.00044832533823557785
tensao_373K,0.8416768558951966,0.6537102473498233,0.6547584067065525,0.0010481593567291947
tensao_373K,0.8515720524017468,0.6494522968197879,0.6499082634252777,0.0004559666054898548
tensao_373K,0.8614672489082971,0.6452296819787986,0.6449839244315774,-0.0002457575472212259
tensao_373K,0.8713624454148472,0.6397809187279152,0.6399830172145204,0.00020209848660524
tensao_373K,0.8812576419213974,0.6346289752650177,0.6349031049860882,0.0002741297210704374
tensao_373K,0.8911528384279477,0.6301272084805652,0.6297416845809456,-0.0003855238996196553
tensao_373K,0.901048034934498,0.6242402826855123,0.6244961843054303,0.0002559016199179531
tensao_373K,0.9109432314410482,0.6183533568904592,0.6191639617335987,0.0008106048431394397
tensao_373K,0.9208384279475984,0.6134275618374558,0.6137423014481443,0.0003147396106885081
tensao_373K,0.9307336244541484,0.6086996466431095,0.6082284127239972,-0.0004712339191123016
tensao_373K,0.9406288209606988,0.6017597173144876,0.6026194271523745,0.0008597098378868573
tensao_373K,0.950524017467249,0.5966961130742049,0.5969123962030388,0.0002162831288339273
tensao_373K,0.9604192139737991,0.5901060070671378,0.5911042887224796,0.0009982816553417706
tensao_373K,0.9703144104803494,0.5837455830388693,0.5851919883657047,0.001446405326835487
tensao_373K,0.9802096069868996,0.5783250883392227,0.5791722909592876,0.0008472026200648797
tensao_373K,0.99010480349345,0.5722014134275618,0.5730419017932711,0.0008404883657092688
tensao_373K,1.0,0.5667844522968198,0.5667974328394921,1.2980542672291762e-05
pressao_1atm,0.01,1.0025268817204305,1.009707778349291,0.007180896628860456
pressao_1atm,0.0199,0.9901252688172044,0.988634672047494,-0.0014905967697104172
pressao_1atm,0.0298,0.9766483870967744,0.9753912463132212,-0.0012571407835532122
