case,current_density_A_cm2,current_A,E_nernst_V,V_act_V,V_ohm_V,V_conc_V,V_cell_V,V_stack_V,P_stack_W,efficiency_percent,temperature_K,air_pressure_atm
T_373,0.125,29.0,1.1638484646298433,0.20684217024456975,0.02391215776946045,0.010739665122802819,0.9223544714930103,37.81653333121342,1096.6794666051892,52.24564657961074,373.15,5.0
T_373,0.12916666666666665,29.96666666666666,1.1638484646298433,0.2077403320934979,0.02470922969510913,0.010872514090128745,0.9205263887511075,37.741581938795406,1130.989405432569,52.14209705737865,373.15,5.0
T_373,0.13333333333333333,30.933333333333334,1.1638484646298433,0.20860997599896275,0.025506301620757812,0.011007006390642232,0.9187251806194804,37.667732405398695,1165.1885224069997,52.04006981474059,373.15,5.0
T_373,0.1375,31.900000000000002,1.1638484646298433,0.20945285734028368,0.026303373546406498,0.011143162352269188,0.9169490713908839,37.59491192702624,1199.277690472137,51.93946426892063,373.15,5.0
T_373,0.14166666666666666,32.86666666666667,1.1638484646298433,0.21027057424968099,0.027100445472055177,0.011281002554390665,0.9151964423537164,37.523054136502374,1233.2577126197114,51.84018872996998,373.15,5.0
T_373,0.14583333333333334,33.833333333333336,1.1638484646298433,0.21106458585061277,0.02789751739770386,0.011420547830953332,0.9134658135505732,37.452098355573504,1267.1293276969036,51.742159367502474,373.15,5.0
T_373,0.15,34.8,1.1638484646298433,0.21183622792623252,0.02869458932335254,0.011561819273618443,0.9117558281066398,37.38198895237223,1300.8932155425537,51.64529932299549,373.15,5.0
T_373,0.15416666666666667,35.766666666666666,1.1638484646298433,0.21258672644061538,0.029491661249001225,0.011704838234949739,0.9100652387052769,37.312674786916354,1334.550001545375,51.549537943715926,373.15,5.0
T_373,0.15833333333333333,36.733333333333334,1.1638484646298433,0.21331720925646613,0.0302887331746499,0.01184962633164081,0.9083928958670865,37.24410873055054,1368.1002607022233,51.45481011880214,373.15,5.0
T_373,0.1625,37.7,1.1638484646298433,0.21402871633049653,0.031085805100298586,0.011996205447782356,0.9067377377512658,37.176247247801896,1401.5445212421316,51.36105570157406,373.15,5.0
T_373,0.16666666666666666,38.666666666666664,1.1638484646298433,0.21472220861780572,0.03188287702594726,0.012144597738169864,0.9050987812479203,37.109050031164735,1434.883267871703,51.2682190049681,373.15,5.0
T_373,0.17083333333333334,39.63333333333333,1.1638484646298433,0.2153985758765969,0.03267994895159595,0.012294825631652228,0.9034751141699983,37.042479680969926,1468.116944689108,51.176248359258814,373.15,5.0
T_373,0.175,40.599999999999994,1.1638484646298433,0.21605864353227555,0.03347702087724463,0.01244691183452175,0.9018658883858014,36.97650142381786,1501.2459578070047,51.08509572305827,373.15,5.0
T_373,0.17916666666666667,41.56666666666667,1.1638484646298433,0.21670317873376865,0.03427409280289331,0.012600879333946121,0.9002703137592352,36.911082864128645,1534.2706777189474,50.994716340068955,373.15,5.0
